pair,iso3_o,iso3_d,year,log_trade,fta,log_distance,common_language,contiguity,colony,log_gdp_o,log_gdp_d
IND_MNE,IND,MNE,2010,8.76435837904707,0,8.58727879898293,0,0,0,21.258857573921,15.2301205411303
IND_MNE,IND,MNE,2011,9.18920937678991,0,8.58727879898293,0,0,0,21.354590897407,15.3199776245872
IND_MNE,IND,MNE,2012,9.11086826334885,0,8.58727879898293,0,0,0,21.3431672290952,15.2131933282781
IND_MNE,IND,MNE,2013,8.82633607444164,0,8.58727879898293,0,0,0,21.3528325234327,15.3007636493714
IND_MNE,IND,MNE,2014,10.6455513654585,0,8.58727879898293,0,0,0,21.4339550008047,15.3389393011399
IND_MNE,IND,MNE,2015,10.0903195055163,0,8.58727879898293,0,0,0,21.4707833272373,15.2067648860857
IND_MNE,IND,MNE,2016,10.6242178470862,0,8.58727879898293,0,0,0,21.5401880545599,15.2442069664233
IND_MNE,IND,MNE,2017,10.7382629329289,0,8.58727879898293,0,0,0,21.6983811513497,15.3958496112408
IND_MNE,IND,MNE,2018,10.7038794575171,0,8.58727879898293,0,0,0,21.717602102778,15.5215204724973
IND_MNE,IND,MNE,2019,10.4276742483155,0,8.58727879898293,0,0,0,21.7640908867597,15.527902299488
IND_MNG,IND,MNG,2010,9.87862389781889,0,8.10922495308996,0,0,0,21.258857573921,15.6401174070686
IND_MNG,IND,MNG,2011,9.89820336578024,0,8.10922495308996,0,0,0,21.354590897407,15.9858692259217
IND_MNG,IND,MNG,2012,10.6276824021533,0,8.10922495308996,0,0,0,21.3431672290952,16.1497850099124
IND_MNG,IND,MNG,2013,10.3263857180199,0,8.10922495308996,0,0,0,21.3528325234327,16.2592835202164
IND_MNG,IND,MNG,2014,9.49277811695023,0,8.10922495308996,0,0,0,21.4339550008047,16.3191175074471
IND_MNG,IND,MNG,2015,9.70456522223693,0,8.10922495308996,0,0,0,21.4707833272373,16.2786263883514
IND_MNG,IND,MNG,2016,10.0167198939165,0,8.10922495308996,0,0,0,21.5401880545599,16.2278784914671
IND_MNG,IND,MNG,2017,10.371248262067,0,8.10922495308996,0,0,0,21.6983811513497,16.2561907915125
IND_MNG,IND,MNG,2018,10.769886807018,0,8.10922495308996,0,0,0,21.717602102778,16.3940664983616
IND_MNG,IND,MNG,2019,10.4554579315295,0,8.10922495308996,0,0,0,21.7640908867597,16.4692002397256
IND_MOZ,IND,MOZ,2010,13.117294960653,0,8.94910546953925,0,0,0,21.258857573921,16.1344957778783
IND_MOZ,IND,MOZ,2011,13.2580701521684,0,8.94910546953925,0,0,0,21.354590897407,16.3991216109605
IND_MOZ,IND,MOZ,2012,13.6804519998159,0,8.94910546953925,0,0,0,21.3431672290952,16.520418941255
IND_MOZ,IND,MOZ,2013,14.3033406751155,0,8.94910546953925,0,0,0,21.3528325234327,16.5647221028493
IND_MOZ,IND,MOZ,2014,14.5028769212506,0,8.94910546953925,0,0,0,21.4339550008047,16.6464346615903
IND_MOZ,IND,MOZ,2015,13.9542537206901,0,8.95014375645926,0,0,0,21.4707833272373,16.5100295901838
IND_MOZ,IND,MOZ,2016,13.5182263239614,0,8.95014375645926,0,0,0,21.5401880545599,16.2147557148953
IND_MOZ,IND,MOZ,2017,13.6880835311579,0,8.95014375645926,0,0,0,21.6983811513497,16.3971717604628
IND_MOZ,IND,MOZ,2018,13.4773811055192,0,8.95014375645926,0,0,0,21.717602102778,16.5132006508614
IND_MOZ,IND,MOZ,2019,14.2996813073479,0,8.95014375645926,0,0,0,21.7640908867597,16.5492305227071
IND_MRT,IND,MRT,2010,10.5461778519753,0,9.14505490527755,0,0,0,21.258857573921,15.0759431300004
IND_MRT,IND,MRT,2011,10.8084103334083,0,9.14505490527755,0,0,0,21.354590897407,15.2352598110222
IND_MRT,IND,MRT,2012,10.7278712194364,0,9.14505490527755,0,0,0,21.3431672290952,15.191426901266
IND_MRT,IND,MRT,2013,11.0964900070164,0,9.14505490527755,0,0,0,21.3528325234327,15.2405887368125
IND_MRT,IND,MRT,2014,11.0984071449274,0,9.14505490527755,0,0,0,21.4339550008047,15.5003296924253
IND_MRT,IND,MRT,2015,11.1619649482616,0,9.14505490527755,0,0,0,21.4707833272373,15.3932975196676
IND_MRT,IND,MRT,2016,11.1832575821383,0,9.14505490527755,0,0,0,21.5401880545599,15.3490578986654
IND_MRT,IND,MRT,2017,11.2625644563261,0,9.14505490527755,0,0,0,21.6983811513497,15.7324531643582
IND_MRT,IND,MRT,2018,11.7114018355707,0,9.14505490527755,0,0,0,21.717602102778,15.8105555173699
IND_MRT,IND,MRT,2019,11.6809309423004,0,9.14505490527755,0,0,0,21.7640908867597,15.8810630016268
IND_MUS,IND,MUS,2010,13.7087521557181,0,8.66630261400408,1,0,1,21.258857573921,16.0895144842114
IND_MUS,IND,MUS,2011,14.0539484522604,0,8.66630261400408,1,0,1,21.354590897407,16.2360925545878
IND_MUS,IND,MUS,2012,13.4852967399228,0,8.66630261400408,1,0,1,21.3431672290952,16.2528097551038
IND_MUS,IND,MUS,2013,13.9883504833233,0,8.66630261400408,1,0,1,21.3528325234327,16.2945039937786
IND_MUS,IND,MUS,2014,14.1241235958992,0,8.66630261400408,1,0,1,21.4339550008047,16.365224892662
IND_MUS,IND,MUS,2015,13.6138220669461,0,8.66630261400408,1,0,1,21.4707833272373,16.2735393185166
IND_MUS,IND,MUS,2016,13.5084658592417,0,8.66630261400408,1,0,1,21.5401880545599,16.3140083957035
IND_MUS,IND,MUS,2017,13.710375086982,0,8.66630261400408,1,0,1,21.6983811513497,16.400213628856
IND_MUS,IND,MUS,2018,13.8695559075217,0,8.66630261400408,1,0,1,21.717602102778,16.4674806619164
IND_MUS,IND,MUS,2019,13.6130787254992,0,8.66630261400408,1,0,1,21.7640908867597,16.4578346062535
IND_MWI,IND,MWI,2010,12.0184017766441,0,8.80086724247048,1,0,1,21.258857573921,15.5016533839218
IND_MWI,IND,MWI,2011,12.4183799401147,0,8.80086724247048,1,0,1,21.354590897407,15.543246547798
IND_MWI,IND,MWI,2012,12.1853891849142,0,8.80086724247048,1,0,1,21.3431672290952,15.2601900468695
IND_MWI,IND,MWI,2013,12.4583155537513,0,8.80086724247048,1,0,1,21.3528325234327,15.1252981977692
IND_MWI,IND,MWI,2014,12.6756833913573,0,8.80086724247048,1,0,1,21.4339550008047,15.6163536802786
IND_MWI,IND,MWI,2015,12.3660409955638,0,8.80086724247048,1,0,1,21.4707833272373,15.6676124771236
IND_MWI,IND,MWI,2016,12.3923143916645,0,8.80086724247048,1,0,1,21.5401880545599,15.5096299844306
